Name,Stars,Title,Date,Description
Lily,4.0,"4.0 out of 5 stars
Great",12/07/2024,"Laptop is working great. No over heating, in fact am barely feeling any heat at all. It’s charging. I was able to set it up and link my other devices. Am accustomed to using HP, Lenovo or any other laptop. It’s quite different from those other devices. Am happy and content with this purchase. Battery health is 100% and the laptop is brand new. The box was sealed. Am not seeing any fingerprints on it. The screen is so sharp and clear compared to other laptops. The speakers are working great.Quality is like 9/10Appearance is 10/10Screen clarity is 10/10The only think is am wondering how to insert a flash drive because the port is different. I guess I’d have to get an adapter of the sort🤷🏽‍♀️"
Jesus Medina Jr,5.0,"5.0 out of 5 stars
Amazing Apple Product!!",18/07/2024,"I've been using this MacBook Air for the past two weeks and, It didn't disappoint. This MacBook has been running smoothly with any programs it runs, It is capable to run multiple programs. For Example, say you are doing a project and will require multiple programs to run all while listening to music in the background, well with the M3 Chip, all that is possible, Compared to previous MacBook's, I couldn't express that this MacBook is well worth the money."
Sherwin Ramsey,4.0,"4.0 out of 5 stars
Great laptop, best quality  when it is under $1000",22/07/2024,"The media could not be loaded.
                



I am a grad student at Michigan State and my HP died. I needed a Laptop for school, which starts end if August.Here are the pro’s and con’s of the M3 13. macbook airPros1 The keyboard is of great quality and I like the fact that it comes with backlight. It helps for typing in the evening.M3 processorI got a stock laptop and even 8 GB of Ram amd 256 SSD is not horrible. I paid $35 and got a 256 external SSD drive3- beat battery life. Even on optimized settings for watching videos and gaming, you get a solid 11 hours of battery life.The 15” Macbook air get’s about 8 and the macboom Pro’s are in between4 the quality. Nothing beats Apple, I like to keep my laptops for about five years and with the Mackbook air, you can.5 Price When Amazon has a sale it becomes very affordable I bought this for $900 out the doorCaveat there are Cons1 Price for upgrades. Amazon and Apple are charging $200 for 16 GB or Ram $400 for 24 GB and $200 for 512 SSD and $400 for 1TB.Apple care is expensive over $200 even for the cheapest MacBook Air, stock.It is for these reasons wh I have to take away one start and not give a full 5 stars."
Muhammad M Aburoui,4.0,"4.0 out of 5 stars
amazing but has flaws",17/07/2024,"Apple 2024 MacBook Air 13-inch Laptop with M3 ChipThe Apple 2024 MacBook Air with the new M3 chip is a mixed bag. While it boasts impressive speed and efficiency, thanks to Apple’s proprietary chip, there are significant drawbacks. The laptop remains outrageously expensive, putting it out of reach for many potential buyers. The limited port selection is another frustrating aspect, requiring multiple dongles for basic connectivity needs. Although the Retina display is stunning, the laptop's build quality feels surprisingly fragile for a premium product. Battery life, though decent, doesn’t live up to the hype Apple has created around it. For a machine that is supposed to represent the future of laptops, it feels more like a costly compromise."
D.S,5.0,"5.0 out of 5 stars
Impressive performance",11/07/2024,"mpressive Performance and Sleek DesignThe Apple 2024 MacBook Air is a fantastic upgrade. The 13.6-inch Liquid Retina Display is stunning, offering vibrant colors and sharp details. The 8GB of unified memory and 512GB SSD storage ensure smooth performance and ample space for all my files and applications.The M3 chip significantly boosts speed and efficiency, making multitasking and running demanding applications a breeze. The backlit keyboard is comfortable to type on, and Touch ID provides quick and secure access to the laptop. The 1080p FaceTime HD camera is a great improvement, offering clear and crisp video quality for virtual meetings.The Midnight finish is sleek and modern, adding a touch of elegance to the overall design. Battery life is excellent, lasting through a full day of work without needing a recharge. This MacBook Air is perfect for both professional and personal use, combining performance, portability, and style. Highly recommend it to anyone looking for a top-tier laptop!"
matthew Sturdevant,5.0,"5.0 out of 5 stars
For anyone wondering if the base model is enough, let me assure you - it absolutely is!",10/07/2024,"I recently purchased the 2024 MacBook Air M3 (base model) and it has completely blown me away. For anyone wondering if the base model is enough, let me assure you - it absolutely is!Here's what I love:Powerhouse Performance: The M3 chip is incredibly powerful. I haven't experienced any lag, even with multiple demanding applications open. This thing chews through everyday tasks and even handles some light photo and video editing without breaking a sweat.Featherlight Design: This laptop is unbelievably light. I can barely feel it in my bag, making it perfect for commuting or travel.Battery Life for Days: The battery life is nothing short of phenomenal. I easily get a full day's work done on a single charge, and then some!Stunning Display: The bezels are practically non-existent, giving you maximum screen real estate. And what a screen it is! The colors are vibrant, the text is sharp, and it's a joy to work on.Incredible Value: You get so much for your money with this laptop. It's the perfect balance of performance, portability, and price.Overall:This MacBook Air is a triumph. Apple has knocked it out of the park with the M3 chip and refined design. If you're looking for a powerful, portable, and long-lasting laptop, look no further than the 2024 MacBook Air M3. You won't be disappointed!"
chevykevy68,5.0,"5.0 out of 5 stars
Nice laptop",31/07/2024,"I bought this as a replacement for an older Macbook Pro. The old laptop still works great. It won't update anymore. After debating for some tme, I decided to try this new M3 model. Great performance. The display is phenomenal."
Kbill,5.0,"5.0 out of 5 stars
Good price",20/07/2024,I replaced my desk top computer with this laptop. The laptop is attached to my 45inch monitor and I love it. Plenty of room on my desk now. Only negative is it has taken a few days to learn how to use my first laptop. Price was great replaced a 25 year old desk top. Also used points thru Amazon.
The Pen & Sword,3.0,"3.0 out of 5 stars
Not worth the money, performs less than PC",09/08/2024,"This is my 3rd Apple in a row, for a decade I have used both machines.Both have pros and cons, to be sure but Apple is brutal on anything non-Apple:That means anything you own that isn't Mac is gonna struggle or not work with it.Also, so many functions just don't work well.I fight the fingerprint every single time I use it.I have to de-do the process monthly, or it does nothing.Sometimes the mouse pad doesn't work.Other times, the Safari app just freezes and nothing worksOften, my Mac compatible printer just won't work, scan or print.So, for the fun stuff it's great, security is okbut it works against me more than with me-75% of the time it locks me out even thoughall passwords and everything has remained the same.If you're all in on all Apple then it may be a good solution for you.For me, as long as they're being so constrictive and prohibitive-and the APPLE HELP is nearly worthless-Hours on the phone or in a line,and no help on line or on the machine itself.I go to help groups to figure out how to do basic thingsand even then, no one knows and Apple doesn't help.I just got one of their best tools and found it so unpleasant to useI will go back to all PC where at least things work well and easily.Peace"
A.Sh,5.0,"5.0 out of 5 stars
Highly recomended",28/07/2024,"I recently purchased this item and I couldn’t be happier with it. The quality is outstanding, and it works exactly as described. The customer service was also excellent, with prompt responses to my queries. I highly recommendAnd It was hadned to me directly"
Stephen,5.0,"5.0 out of 5 stars
great product",13/07/2024,"great product use everyday came exactly as advertised, very sleek smooth outside and love the color this laptop stays charged longer then any I have ever seen and makes no sound what's so ever. definitely worth the money if you are looking for a Mac I extremely recommend the M3. the light weight and thinness make this laptop very mobile so its not annoying to lug around if its in your bag you barely even notice!!"
Christy,5.0,"5.0 out of 5 stars
Good to be back",23/07/2024,My old Apple MacBook was dying a slow death after 11 years. I tried switching to windows and MS and it was painful. After a few months of frustration I found this one and caved. So much more efficient and amazing battery life.
Sherry,5.0,"5.0 out of 5 stars
Love it",03/08/2024,I wasn’t expecting it to be brand new out of the box but it was and I love it I also love how well packed it was . The sound works perfect and it was a great price
Gail K.,5.0,"5.0 out of 5 stars
Awexome laptop, shipped promptly",10/08/2024,"This 2024 Apple MacBook Air 13"" Me A3113 is an awesome laptop.  It was delivered promptly."
Sarah,5.0,"5.0 out of 5 stars
Love this!",19/07/2024,"I'm a college student and this works perfect for everything I need to do. I haven't seen many reviews from college students, but this is definitely the best bang for your budget.  This laptop runs everything I need. I did get this in midnight and it is gorgeous, but fingerprints do show up SUPER easy. Other than the fingerprints, I definitely recommend this laptop!"
Linda,5.0,"5.0 out of 5 stars
Awesome batter life",04/08/2024,I use it to replace my 2020 MacBook pro and have been impressed by its batter life.
Damber Bokati,4.0,"4.0 out of 5 stars
Good performance but felt like it catches fingerprints.",01/08/2024,"It is really good, this is my second mac and liked it but it’s wired that it catches finger print so easily, mainly on keyboard and the side of the mouse pad. They should improve that!"
Patrick Schneider,5.0,"5.0 out of 5 stars
I am in love with this laptop!!",24/06/2024,"This laptop is a complete game changer. I am usually a PC guy but I ended up getting a Mac to change things up. The way you can text and easily connect any Apple device to it so easily completely changed how I do my work and leisure shopping. The M3 chip is also insanely fast and the extra RAM definitely helps me browse more things at once. I haven’t edited anything yet, but I’m sure it would be perfect for any job that is needed. The color is also perfect as I haven’t seen any finger prints yet. Would recommend completely!!"
Luis Murillo,5.0,"5.0 out of 5 stars
Buen producto, buen descuento.",29/07/2024,"Excelente computador, compre la version de 512gb y 16gb de ram, y va muy fluida, la bateria dura mucho, y amazon me dio un buen descuento, por el cual estoy agradecido."
NG,5.0,"5.0 out of 5 stars
Great for college studehts",04/08/2024,Small enough to be portable but large enough screen overall.  Macs rarely disappoint.
S. Sehgal,5.0,"5.0 out of 5 stars
Amazing laptop and what a deal.",22/07/2024,I got the new MacBook Air for $710 from Amazon resale. It was listed in accepted condition but to my surprise the laptop came in flawless condition with no signs of use and only 2 battery cycles. The charger and original cable was also included. Laptop is super light weight and surprisingly fast even with 8 gb unified memory.
krs,5.0,"5.0 out of 5 stars
It’s a MacBook….dependable",08/08/2024,Know the MacBooks well.  Good shipping and hassle-free delivery
Dario Move,5.0,"5.0 out of 5 stars
In love",08/08/2024,It’s an excellent upgrade from M1 to M3
Little DAB,5.0,"5.0 out of 5 stars
Fast work horse",07/07/2024,"My 9 year old Mac Book Pro needed to be replaced, it had spilled water all over it. Went w this unit, with great results. Had it a month or so. Backing up from old MBP was simple. Its bluetooth wife connectivity is exemplary. It's blazing fast. Customer service next to none!! And I'm finally learning Apple software too. Only took...."
Rosario borda,5.0,"5.0 out of 5 stars
Todo bien",03/08/2024,Llego en excelente estado y el color es muy bonito
Bakhodir Akilkhanov,5.0,"5.0 out of 5 stars
The best",08/08/2024,The best.I recommend.
David Howard,5.0,"5.0 out of 5 stars
Decent deal. Good laptop.",01/08/2024,Easy enough my brother didn't miss using Win. Added a USB-A to USB-C hub so his old peripherals can work.
Amazon Customer,5.0,"5.0 out of 5 stars
Great deal from Amazon!",28/06/2024,There are lots of reviews of the M3 MBA on the internet so I’m not going into product reviews.I received a brand new sealed machine without any flaws from Amazon at an amazing 18% off discount.Battery cycle count is 1 which is perfect.Great deal! Considering the official Apple Store never offers any discount.I will buy the 15 inch model from Amazon again when there is a similar deal.
Steve S,5.0,"5.0 out of 5 stars
great new MacBook air",29/07/2024,"replaced 2019 intel MacBook air. This is much better quiet, runs cool and long battery life. Also much faster."
J,5.0,"5.0 out of 5 stars
Love the battery life on these",07/07/2024,"Fantastic battery life, performance and well integrated with phone/iPad in the Apple Ecosystem.  Worth getting this over the M2 to have the faster disk speed and mag-safe charging that can break away if someone trips on the cord, etc and save the laptop from going for a spin. Great for students."
DG,5.0,"5.0 out of 5 stars
Great",30/07/2024,Excellent product. My daughter is using it for college
Charles Brett,5.0,"5.0 out of 5 stars
Same size screen, with a smaller computer",24/06/2024,"Replaced a 2013 Macbook Air with the this one and wow, what a difference! Everything is so much faster - from the time for apps to start, to when email is loaded. I thought previously delays were my internet speed, but it was the old computer.As a bonus, the newer 13"" model is actually smaller than the old one, which means it still fits in my bag. The keyboard is slightly smaller, but not by much."
Person,5.0,"5.0 out of 5 stars
fast delivery",10/07/2024,Love my MacBook and how much cheaper it is on amazon. It was temporarily out of stock when I ordered it but when it finally shipped it took less than a day to be delivered!
Mariah abel,5.0,"5.0 out of 5 stars
Can add different add ons",24/07/2024,works really well with all of the add ons that I had to get for college
Jeneva Samples,5.0,"5.0 out of 5 stars
Better and cheaper than last iPad and under half the cost of M4 ipaf",09/07/2024,This has been so much Ed lighter than my m1 iPad Air and having a really is has made it much easier to use vs a tablet.  Sure it isn’t a touchscreen but now I don’t have finger smudges.
Sherry and Lexie,5.0,"5.0 out of 5 stars
So light and thin!",16/07/2024,My old Mac was too heavy and thick. I’m a teacher so I needed something light and easy to carry to school. This is PERFECT! Very happy.
JORGE MARROQUIN,5.0,"5.0 out of 5 stars
Super fast. Super attractive.",25/07/2024,My fave owned Mac thus far. The midnight finish is just beautiful
lana,5.0,"5.0 out of 5 stars
love it",31/05/2024,"My old laptop was dying a slow death and I was debating whether it was time to just bite the bullet and buy a new one. I'm heavily into the apple ecosystem so wanted to stick with a macbook but wasn't necessarily going to go for brand new, latest model. But after price shopping and realizing I could save 150$ over Apple's price by buying it on Amazon, and I would get the 5% back with my credit card...sold. I was a little worried it would take a beating in shipping but it was well packaged and arrived right when expected, when I had planned to be home for it. And I love the black color!"
Muhammad Amer,5.0,"5.0 out of 5 stars
Apple MacBook Air M3",19/07/2024,Got it at a wonderful price. Very fast and realisable machine.
eBoosler,5.0,"5.0 out of 5 stars
As Good As It Gets.",26/07/2024,"My newest MacBook, maybe my 4th or 5th over the years.. Awesome."
Dom,5.0,"5.0 out of 5 stars
Great Quality Computer",17/07/2024,This computer is amazing. I have had zero complaints about it. Works great with my video editing software and also great to watch movies on.
Christopher W. Martin,5.0,"5.0 out of 5 stars
Recommend",26/07/2024,Good price. Beautiful color. Not really heavy. Recommend
Rony Muzo,5.0,"5.0 out of 5 stars
MacBook",26/07/2024,Me gustó muchísimo! Está muy hermosoHice una buena compra 👍
Jason,5.0,"5.0 out of 5 stars
Great laptop!",10/07/2024,I was hesitant to buy it because there was only 8gb of ram and I didn’t think that would be enough but it hasn’t been a problem at all. It has done everything I wanted to do with ease. It’s fast! It has a nice screen. While this isn’t a high end MacBook it is still the best I have ever owned. The M3 processor is amazing! Aesthetically it is beautiful! It is very thin and light. It feels like cutting edge technology.
D. Harper-Kingsbury,5.0,"5.0 out of 5 stars
great computer",29/07/2024,"looks great, works smoothly, pretty light/thin, overall awesome computer"
Dee Dee,5.0,"5.0 out of 5 stars
Top quality",20/07/2024,Top quality. Graduation gift for my son.
Angela,5.0,"5.0 out of 5 stars
Great for college!",26/07/2024,Get it.
Amazon Customer,5.0,"5.0 out of 5 stars
Exactly what I was looking for in a MacBook",07/07/2024,I purchased the MacBook Air M3 at a great price and it's a major upgrade from my previous Intel processor.
Stephanie T.,5.0,"5.0 out of 5 stars
Works great!",25/07/2024,Love the speed!
Bawlmer Brave,5.0,"5.0 out of 5 stars
Typical Apple",13/07/2024,Solid computer which I expect will last my daughter thru college.
Beatrice Brown,4.0,"4.0 out of 5 stars
I Was Wondering Why I Didn’t See A 5 % Cash Back Is?",12/07/2024,There’s No Book With It. I Don’t Know How To Use Some Things On It. I Would Like My 5% Cash Back.
Hershey Bar,4.0,"4.0 out of 5 stars
Good Quality",14/07/2024,Confusing at first but works very well for the price compared to I other expensive ones
PK,5.0,"5.0 out of 5 stars
I love mine",18/07/2024,I love how light it is and this work great.
Kindle Lover,5.0,"5.0 out of 5 stars
Great price …",29/06/2024,Best price anywhere for this product with the latest chip.  I love Apple products and was motivated to update my 8 year old unit because of the price for the latest features.
Allie B Nokes,5.0,"5.0 out of 5 stars
Nice laptop",25/06/2024,Wish I had gotten the MacBook Pro so I could use my experiences cords and plugs but this does what I needed it for. If using for work I would go for more memory. Nice looking and great battery life.
Kimmy,3.0,"3.0 out of 5 stars
Not a bad deal but…..",31/07/2024,"I received it with a broken screen.I was so excited. Waiting for it to come was like Christmas because it is for school, and when it did i just had to open it immediately. I took it out of the box like it was a newborn baby. My mom and gram thought it was funny. But once it turned on to the welcome main starter screen. We all could see the LCD under the screen broke and looked like it was leaking across the bottom of the screen. Thankfully I bought it with AppleCare+ and drove 2 hours to be told to come back in 3 days to drop it off; just to pick it up in a week with it fixed. So that’s minimal 6 hours of waisted gas and no computer for school.So I am just glad that Apple themself is actually doing the right thing because Amazon was not going to help."
Lorca,5.0,"5.0 out of 5 stars
What a Joy. Another Great Apple Upgrade",16/06/2024,Upgraded from a 2020 Retina screen Macbook Air. This one feels 1000% faster and the keyboard is so much better. Just love it. The longer lasting battery is super helpful. I'd recommend this computer to anyone who doesn't use it to make movies or play video games (only because I don't know what those requirements might be).
Mai,5.0,"5.0 out of 5 stars
Excellent!",20/06/2024,I was a little skeptical purchasing an apple computer on Amazon but nothing to be worried about in the end. Everything came extremely well packaged. My son loves his new computer and it was great getting the efficiency through Amazon.
Averyr,5.0,"5.0 out of 5 stars
Love it. There really is a difference!",15/05/2024,"I finally had it watching little wheels spin around on my other PC laptops. The final straw occurred at the beginning of May when I was about to record a legal video deposition, and I needed the PC to capture video that could be streamed to law firms across the country. Surprisingly, my PC decided to upgrade just when I was about to begin, even though I had it running the night before. I was accompanied by a handful of attorneys waiting for me to start. After a few minutes, I excused myself, went to the parking garage, and retrieved a backup computer. Fortunately, that machine booted in a few minutes. That's when I decided to purchase a MAC.  This machine is fast; it just does it when I ask it to do something, such as open a video. It also has a refined feel and is amazingly compact. Do I have the buyer's remorse? No, I do not."
JJA,5.0,"5.0 out of 5 stars
Compact device that works!",14/07/2024,Pleased with this travel device.
Virginia Manzella,5.0,"5.0 out of 5 stars
Love Apple",02/07/2024,This is our second Mac. Love this MacBook Air. Great price too.
Yusall Claud,5.0,"5.0 out of 5 stars
good",07/07/2024,I am an Apple fan
Valerie,5.0,"5.0 out of 5 stars
Reliable",18/07/2024,"The media could not be loaded.
                



I had 2017 mac before, so it was time to upgrade. I decided to get a similar laptop to what I had before, and my pick was 2024 MacBook Air. I am happy with my choice so far, it has been a few months now. It works great, fast and lightweight! Holds battery for a LONG time, which is my favorite part about Apple honestly."
Danny,5.0,"5.0 out of 5 stars
Too heavy.",09/07/2024,"very good , but too heavy."
C. A. Dreyfus,5.0,"5.0 out of 5 stars
great computer, fast and works troughtout anything you trow at it.",01/07/2024,"This new processors are a different beast, it's a great computer, fast, and works throughout anything you trow at it."
Samuel Giordano,5.0,"5.0 out of 5 stars
Superb lap top",12/07/2024,"The best lap top ever. Quick reliable, efficient, logic , light, good battery time , beautiful screen."
Lawrence Dear,5.0,"5.0 out of 5 stars
School item.",03/07/2024,I like apple products and will be using it to further my education.
Sade Smith,5.0,"5.0 out of 5 stars
It's mostly like an iphone.",03/07/2024,"So far so good, my daughter likes it."
Kinkarku,5.0,"5.0 out of 5 stars
Apple Excellence",02/07/2024,I love my new 2024 MacBook Air! Longest lasting battery I’ve ever used on any piece of technology!
dove,5.0,"5.0 out of 5 stars
very good fast and running macbook!",20/06/2024,I have had it for a week and it works very fast! I would suggest to buy it if you really need it though.
Beverly,5.0,"5.0 out of 5 stars
Macbook Air 13-incn laptop with M3 chip",01/07/2024,Love it and it's fast and smooth.
Nora,5.0,"5.0 out of 5 stars
Gran producto",07/07/2024,Genial
RAZVAN,5.0,"5.0 out of 5 stars
Good price",27/06/2024,"Good price, slow delivery, still worth it !"
C. Jaeger,5.0,"5.0 out of 5 stars
Just what I needed",31/05/2024,"I've been using Macs since the little tan box that people now use as fish bowls so I wasn't surprised that this MacBook is fast and convenient. The battery lasts much longer than I expected and charges relatively quickly. Being a fireman's wife, I check for heat both on the charger and the computer case while it's charging and don't detect any. However, I never leave any device charging when no one is around. That's just common sense. It's  lot of computer for the money and I'm happy I bought it."
B.Kidd,5.0,"5.0 out of 5 stars
Love it",13/06/2024,"I adore this laptop. Excellent performance. I bought it to replace a 2017 MacBook.  I got the starlight color, and it’s gorgeous. It’s subtle and unique."
Amazon Customer,5.0,"5.0 out of 5 stars
Great purchase",26/06/2024,It is as great as all Apple products
Carlos A.,4.0,"4.0 out of 5 stars
Great machine, performs well and looks awesome but..",24/05/2024,"The machine is awesome, super light and comfortable to use.  my only regret is not spending the little bit extra to get the 16 GB RAM.  sometimes when I have too much going on and multiple open sessions on the machine it slows down."
Mirta,5.0,"5.0 out of 5 stars
Excelente compra",27/07/2024,"The media could not be loaded.
                



Renové mi antigua MacBook Pro 2017 y vaya que se nota el cambio. En rendimiento y en batería, la batería es absurdamente buena, no se calienta la pc, es una chulada de máquina, saltar a la M3 es la mejor decisión que tomé"
Stephen C.,5.0,"5.0 out of 5 stars
I bought it for my wife. She loved it.",24/06/2024,"I love the speed, picture resolutions, and ease of use"
Buen producto y entrega rápida,5.0,"5.0 out of 5 stars
Muy linda",19/06/2024,Muy buena calidad producto original
M. Stephens,5.0,"5.0 out of 5 stars
This is a super system, hoping to unlock some of the Apple silicon magic of the M3 CPU.",24/06/2024,Exactly what I hoped for.
Ivan Flores,5.0,"5.0 out of 5 stars
I love this Mac",26/06/2024,Great product & high Quality.
Pete,5.0,"5.0 out of 5 stars
Nice",23/06/2024,I use it for my business.
José Gabriel Suárez Pérez,5.0,"5.0 out of 5 stars
Lo mejor",23/06/2024,Buen computador
